costCenterId,count,id_firestore,notes,referenceMonth,referenceYear,sectorId,unitId
aEk50YUcFdYewSnTCyex,5,nAyfYTb5j9Gbu7nv7ZVL,,11,2024,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,14,nh2cfaMbGzISCsAYCkDv,,2,2025,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
uNyyHiailuJuxGJYrGc5,5,oA9whW5IUYABW2LFvBb2,,11,2024,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,19,oIjiV5tz52hGvlcn9X2y,,8,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,13,oVbIeM0wTjnh361G81Pu,,6,2024,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
uCOdcnxILp65W3UFgcCs,2,oWiKJmINGrPM4MYyXdmI,,7,2024,HWuwiRi50QD9VJ0nNzZY,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,8,ob7ZDaPWSEb04UsXufkr,,1,2025,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,3,ou7vhiBQwHqmPOg8S5H7,,5,2024,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,1,p7gUy5FklTmuleVjhw8O,,2,2025,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,7,p9KALXRL0CBqDnOwGvbk,,6,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
Bj6GkhQv6g9bZA9EdcRj,6,qsTmdv1Oi98e3abujnEA,,10,2024,JwBtyHrAXS1TKxrJIv3b,vcUJkV1rt2Ia1JTvFP7v
hiBy5Uy9XHNrDsPUlUKE,3,qwfSzCQ7C1SUQQ3JBvow,,4,2025,AQmM38SeJqAqlJrfPVdR,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,10,rLPm09D3DRmgWsuqGzCG,,12,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
lx5ba0d0g6KwCmeCiV7E,1,s3AxzS9TFqNe3OQ50OHo,,12,2024,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,3,s4yrbR5YuNk8lw9a6yKO,,8,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
